,percentsampleremoved,outcome_index,mixed_index,intake_index
295,20,0.760972892,0.788222726,0.507240724
296,20,0.648965874,0.64420628,0.382926306
297,20,0.701588854,0.673414308,0.677215354
298,20,0.680217755,0.539126297,0.400857155
299,20,0.532694784,0.626543126,0.578865058
300,20,0.816898385,0.6903932,0.559756927
301,30,0.571928216,0.799769259,0.616315254
302,30,0.650259984,0.921903607,0.779875943
303,30,0.718983413,0.556984238,0.420681233
304,30,0.492030215,0.4619459,0.688415704
305,30,0.691633929,0.545182015,0.502531691
306,30,0.489028776,0.776318205,0.743186041
307,30,0.489864523,0.636790631,0.667390564
308,30,0.58688865,0.657809343,0.566068932
309,30,0.762511669,0.610883555,0.618501988
310,30,0.622044693,0.625643213,0.6813521
311,30,0.52747344,0.621159794,0.597614224
312,30,0.43181788,0.451589894,0.391897862
313,30,0.782842858,0.631558653,0.808917857
314,30,0.706014619,0.430395262,0.511504468
315,30,0.690348866,0.5970775,0.522712545
316,30,0.543522772,0.652347443,0.518825521
317,30,0.414542702,0.818972264,0.372309877
318,30,0.832807105,0.491188855,0.545178774
319,30,0.544485984,0.588105812,0.384203127
320,30,0.511996081,0.565911633,0.444028978
321,30,0.559582015,0.827801586,0.527028526
322,30,0.690343109,0.567288765,0.449577848
323,30,0.633981738,0.441117352,0.41267296
324,30,0.493213704,0.703205206,0.790897397
325,30,0.68242026,0.633024252,0.70462104
326,30,0.761050999,0.478170209,0.505988202
327,30,0.391302901,0.482861287,0.462585804
328,30,0.754219049,0.657340286,0.742890859
329,30,0.554283429,0.497323552,0.588272963
330,30,0.621096342,0.506012775,0.415910849
331,30,0.897964454,0.652576555,0.314403372
332,30,0.778829106,0.445710812,0.468630524
333,30,0.700648881,0.623734774,0.339624078
334,30,0.675166924,0.498071529,0.927396316
335,30,0.652366019,0.747594969,0.550616366
336,30,0.802722813,0.47213562,0.813320726
337,30,0.732085337,0.636332951,0.765399154
338,30,0.490630864,0.580357555,0.79843777
339,30,0.432526146,0.645532347,0.64743408
340,30,0.719424463,0.653764813,0.39913213
341,30,0.557806419,0.855474932,0.521563005
342,30,0.45628876,0.573990336,0.543283242
343,30,0.394903926,0.480712921,0.351607653
344,30,0.508920948,0.615929959,0.657773653
345,30,0.730551968,0.699285397,0.476547192
346,30,0.598506719,0.470697601,0.378101341
347,30,0.747301144,0.69122313,0.570874635
348,30,0.663571006,0.491589199,0.461714342
349,30,0.636557202,0.69275945,0.599849796
350,30,0.731604215,0.725536038,0.566052901
351,30,0.661753221,0.59002243,0.498226157
352,30,0.636960489,0.567288765,0.496427863
353,30,0.708557617,0.582441939,0.721624594
354,30,0.485656434,0.48555787,0.839264962
355,30,0.501067144,0.826203869,0.450749021
356,30,0.599083854,0.457654688,0.398863867
357,30,0.633129505,0.453731997,0.603073599
358,30,0.598759514,0.562700386,0.429264127
359,30,0.628438145,0.748389238,0.761050999
360,30,0.463588247,0.585500177,0.376591946
361,30,0.619846756,0.794769109,0.652257423
362,30,0.758981658,0.676609494,0.613579219
363,30,0.581533581,0.727235167,0.418370156
364,30,0.361951466,0.597402775,0.488447115
365,30,0.597619433,0.65209675,0.371525669
366,30,0.529624416,0.675636779,0.526270866
367,30,0.820520832,0.829261006,0.370175532
368,30,0.873004574,0.762523466,0.351800121
369,30,0.688803424,0.628989626,0.456601137
370,30,0.674353601,0.72868556,0.529132116
371,30,0.582296511,0.626619667,0.743605656
372,30,0.76787184,0.606248196,0.557624452
373,30,0.581578074,0.466977899,0.583183395
374,30,0.665653236,0.606847706,0.743465723
375,30,0.512039309,0.876086361,0.451485096
